Subarea_1,Program,Score,Area,ScoreOrdinal,Subarea,Mean_Score,Se_Score
NASEM.Communication.04,B.S. in Data Analytics.O,3,Technical,3,Clear and comprehensive reporting,2.277778,0.1086325
NASEM.Communication.04,"B.S. in Data Sciences, Applied Data Science option",4,Technical,4,Clear and comprehensive reporting,2.277778,0.1086325
NASEM.Communication.04,"B.S. in Data Sciences, Computational Science option",4,Technical,4,Clear and comprehensive reporting,2.277778,0.1086325
NASEM.Communication.04,Data Science Minor,3,Technical,3,Clear and comprehensive reporting,2.277778,0.1086325
NASEM.Communication.04,Statistics and Data Science BA,3,Technical,3,Clear and comprehensive reporting,2.277778,0.1086325
NASEM.Communication.04,Statistics and Data Science BS,3,Technical,3,Clear and comprehensive reporting,2.277778,0.1086325
NASEM.Communication.04,B.A. in Data Science,3,Technical,3,Clear and comprehensive reporting,2.277778,0.1086325
NASEM.Communication.04,B.S. in Statistics: Statistical Data Science,3,Technical,3,Clear and comprehensive reporting,2.277778,0.1086325
NASEM.Communication.04,B.A. in Statistics and Data Science,4,Technical,4,Clear and comprehensive reporting,2.277778,0.1086325
NASEM.Communication.04,Certificate in Data Science ,3,Technical,3,Clear and comprehensive reporting,2.277778,0.1086325
NASEM.Communication.04,B.S. in Data Science,2,Technical,2,Clear and comprehensive reporting,2.277778,0.1086325
NASEM.Communication.04,B.S. in Computer Science with data science specialization,3,Technical,3,Clear and comprehensive reporting,2.277778,0.1086325
NASEM.Communication.04,"B.S. in Applied & Computational Mathematical Sciences, Data Sciences & Statistics Track",3,Technical,3,Clear and comprehensive reporting,2.277778,0.1086325
NASEM.Communication.04,"B.S. in Computer Science, Data Science Option",3,Technical,3,Clear and comprehensive reporting,2.277778,0.1086325
NASEM.Communication.04,B.S. in Human Centered Design & Engineering with Data Science option,3,Technical,3,Clear and comprehensive reporting,2.277778,0.1086325
NASEM.Communication.04,"B.S. in Informatics, Data Science Track",3,Technical,3,Clear and comprehensive reporting,2.277778,0.1086325
NASEM.Communication.04,B.S. in Statistics with Data Science option,3,Technical,3,Clear and comprehensive reporting,2.277778,0.1086325
NASEM.Communication.04,B.S. in Data Analytics.W,2,Technical,2,Clear and comprehensive reporting,2.277778,0.1086325
NASEM.Communication.05,B.S. in Data Analytics.O,2,Presentation,2,Ability to understand client needs,1.555556,0.2318189
NASEM.Communication.05,"B.S. in Data Sciences, Applied Data Science option",4,Presentation,4,Ability to understand client needs,1.555556,0.2318189
NASEM.Communication.05,"B.S. in Data Sciences, Computational Science option",4,Presentation,4,Ability to understand client needs,1.555556,0.2318189
NASEM.Communication.05,Data Science Minor,2,Presentation,2,Ability to understand client needs,1.555556,0.2318189
NASEM.Communication.05,Statistics and Data Science BA,2,Presentation,2,Ability to understand client needs,1.555556,0.2318189
NASEM.Communication.05,Statistics and Data Science BS,2,Presentation,2,Ability to understand client needs,1.555556,0.2318189
NASEM.Communication.05,B.A. in Data Science,2,Presentation,2,Ability to understand client needs,1.555556,0.2318189
NASEM.Communication.05,B.S. in Statistics: Statistical Data Science,2,Presentation,2,Ability to understand client needs,1.555556,0.2318189
NASEM.Communication.05,B.A. in Statistics and Data Science,4,Presentation,4,Ability to understand client needs,1.555556,0.2318189
NASEM.Communication.05,Certificate in Data Science ,2,Presentation,2,Ability to understand client needs,1.555556,0.2318189
NASEM.Communication.05,B.S. in Data Science,2,Presentation,2,Ability to understand client needs,1.555556,0.2318189
NASEM.Communication.05,B.S. in Computer Science with data science specialization,2,Presentation,2,Ability to understand client needs,1.555556,0.2318189
NASEM.Communication.05,"B.S. in Applied & Computational Mathematical Sciences, Data Sciences & Statistics Track",2,Presentation,2,Ability to understand client needs,1.555556,0.2318189
NASEM.Communication.05,"B.S. in Computer Science, Data Science Option",2,Presentation,2,Ability to understand client needs,1.555556,0.2318189
NASEM.Communication.05,B.S. in Human Centered Design & Engineering with Data Science option,4,Presentation,4,Ability to understand client needs,1.555556,0.2318189
NASEM.Communication.05,"B.S. in Informatics, Data Science Track",2,Presentation,2,Ability to understand client needs,1.555556,0.2318189
NASEM.Communication.05,B.S. in Statistics with Data Science option,2,Presentation,2,Ability to understand client needs,1.555556,0.2318189
NASEM.Communication.05,B.S. in Data Analytics.W,2,Presentation,2,Ability to understand client needs,1.555556,0.2318189
