Subarea_1,Program,Score,Area,ScoreOrdinal,Subarea,Mean_Score,Se_Score
NASEM.Math.03,"B.S. in Applied & Computational Mathematical Sciences, Data Sciences & Statistics Track",4,Probability,4,Multivariate thinking via functions,2.666667,0.3333333
NASEM.Math.03,"B.S. in Computer Science, Data Science Option",1,Probability,1,Multivariate thinking via functions,2.666667,0.3333333
NASEM.Math.03,B.S. in Human Centered Design & Engineering with Data Science option,3,Probability,3,Multivariate thinking via functions,2.666667,0.3333333
NASEM.Math.03,"B.S. in Informatics, Data Science Track",4,Probability,4,Multivariate thinking via functions,2.666667,0.3333333
NASEM.Math.03,B.S. in Statistics with Data Science option,4,Probability,4,Multivariate thinking via functions,2.666667,0.3333333
NASEM.Math.03,B.S. in Data Analytics.W,4,Probability,4,Multivariate thinking via functions,2.666667,0.3333333
NASEM.Math.04,B.S. in Data Analytics.O,4,Linear,4,Networks & graph theory,2.166667,0.3258975
NASEM.Math.04,"B.S. in Data Sciences, Applied Data Science option",4,Linear,4,Networks & graph theory,2.166667,0.3258975
NASEM.Math.04,"B.S. in Data Sciences, Computational Science option",4,Linear,4,Networks & graph theory,2.166667,0.3258975
NASEM.Math.04,Data Science Minor,4,Linear,4,Networks & graph theory,2.166667,0.3258975
NASEM.Math.04,Statistics and Data Science BA,4,Linear,4,Networks & graph theory,2.166667,0.3258975
NASEM.Math.04,Statistics and Data Science BS,4,Linear,4,Networks & graph theory,2.166667,0.3258975
NASEM.Math.04,B.A. in Data Science,4,Linear,4,Networks & graph theory,2.166667,0.3258975
NASEM.Math.04,B.S. in Statistics: Statistical Data Science,4,Linear,4,Networks & graph theory,2.166667,0.3258975
NASEM.Math.04,B.A. in Statistics and Data Science,4,Linear,4,Networks & graph theory,2.166667,0.3258975
NASEM.Math.04,Certificate in Data Science ,2,Linear,2,Networks & graph theory,2.166667,0.3258975
NASEM.Math.04,B.S. in Data Science,4,Linear,4,Networks & graph theory,2.166667,0.3258975
NASEM.Math.04,B.S. in Computer Science with data science specialization,4,Linear,4,Networks & graph theory,2.166667,0.3258975
NASEM.Math.04,"B.S. in Applied & Computational Mathematical Sciences, Data Sciences & Statistics Track",4,Linear,4,Networks & graph theory,2.166667,0.3258975
NASEM.Math.04,"B.S. in Computer Science, Data Science Option",4,Linear,4,Networks & graph theory,2.166667,0.3258975
NASEM.Math.04,B.S. in Human Centered Design & Engineering with Data Science option,1,Linear,1,Networks & graph theory,2.166667,0.3258975
NASEM.Math.04,"B.S. in Informatics, Data Science Track",1,Linear,1,Networks & graph theory,2.166667,0.3258975
NASEM.Math.04,B.S. in Statistics with Data Science option,4,Linear,4,Networks & graph theory,2.166667,0.3258975
NASEM.Math.04,B.S. in Data Analytics.W,4,Linear,4,Networks & graph theory,2.166667,0.3258975
NASEM.Math.05,B.S. in Data Analytics.O,4,Networks,4,Optimization,1.833333,0.258831
NASEM.Math.05,"B.S. in Data Sciences, Applied Data Science option",4,Networks,4,Optimization,1.833333,0.258831
NASEM.Math.05,"B.S. in Data Sciences, Computational Science option",4,Networks,4,Optimization,1.833333,0.258831
NASEM.Math.05,Data Science Minor,2,Networks,2,Optimization,1.833333,0.258831
NASEM.Math.05,Statistics and Data Science BA,2,Networks,2,Optimization,1.833333,0.258831
NASEM.Math.05,Statistics and Data Science BS,2,Networks,2,Optimization,1.833333,0.258831
NASEM.Math.05,B.A. in Data Science,1,Networks,1,Optimization,1.833333,0.258831
NASEM.Math.05,B.S. in Statistics: Statistical Data Science,1,Networks,1,Optimization,1.833333,0.258831
NASEM.Math.05,B.A. in Statistics and Data Science,1,Networks,1,Optimization,1.833333,0.258831
NASEM.Math.05,Certificate in Data Science ,1,Networks,1,Optimization,1.833333,0.258831
NASEM.Math.05,B.S. in Data Science,4,Networks,4,Optimization,1.833333,0.258831
NASEM.Math.05,B.S. in Computer Science with data science specialization,4,Networks,4,Optimization,1.833333,0.258831
NASEM.Math.05,"B.S. in Applied & Computational Mathematical Sciences, Data Sciences & Statistics Track",4,Networks,4,Optimization,1.833333,0.258831
NASEM.Math.05,"B.S. in Computer Science, Data Science Option",1,Networks,1,Optimization,1.833333,0.258831
NASEM.Math.05,B.S. in Human Centered Design & Engineering with Data Science option,1,Networks,1,Optimization,1.833333,0.258831
NASEM.Math.05,"B.S. in Informatics, Data Science Track",1,Networks,1,Optimization,1.833333,0.258831
NASEM.Math.05,B.S. in Statistics with Data Science option,1,Networks,1,Optimization,1.833333,0.258831
NASEM.Math.05,B.S. in Data Analytics.W,1,Networks,1,Optimization,1.833333,0.258831
NASEM.Math.06,B.S. in Data Analytics.O,4,Optimization,4,Set theory & basic logic,1.722222,0.3003871
NASEM.Math.06,"B.S. in Data Sciences, Applied Data Science option",2,Optimization,2,Set theory & basic logic,1.722222,0.3003871
NASEM.Math.06,"B.S. in Data Sciences, Computational Science option",2,Optimization,2,Set theory & basic logic,1.722222,0.3003871
NASEM.Math.06,Data Science Minor,2,Optimization,2,Set theory & basic logic,1.722222,0.3003871
NASEM.Math.06,Statistics and Data Science BA,4,Optimization,4,Set theory & basic logic,1.722222,0.3003871
NASEM.Math.06,Statistics and Data Science BS,4,Optimization,4,Set theory & basic logic,1.722222,0.3003871
NASEM.Math.06,B.A. in Data Science,1,Optimization,1,Set theory & basic logic,1.722222,0.3003871
NASEM.Math.06,B.S. in Statistics: Statistical Data Science,2,Optimization,2,Set theory & basic logic,1.722222,0.3003871
NASEM.Math.06,B.A. in Statistics and Data Science,1,Optimization,1,Set theory & basic logic,1.722222,0.3003871
NASEM.Math.06,Certificate in Data Science ,1,Optimization,1,Set theory & basic logic,1.722222,0.3003871
NASEM.Math.06,B.S. in Data Science,1,Optimization,1,Set theory & basic logic,1.722222,0.3003871
NASEM.Math.06,B.S. in Computer Science with data science specialization,2,Optimization,2,Set theory & basic logic,1.722222,0.3003871
NASEM.Math.06,"B.S. in Applied & Computational Mathematical Sciences, Data Sciences & Statistics Track",2,Optimization,2,Set theory & basic logic,1.722222,0.3003871
NASEM.Math.06,"B.S. in Computer Science, Data Science Option",1,Optimization,1,Set theory & basic logic,1.722222,0.3003871
NASEM.Math.06,B.S. in Human Centered Design & Engineering with Data Science option,1,Optimization,1,Set theory & basic logic,1.722222,0.3003871
NASEM.Math.06,"B.S. in Informatics, Data Science Track",1,Optimization,1,Set theory & basic logic,1.722222,0.3003871
NASEM.Math.06,B.S. in Statistics with Data Science option,1,Optimization,1,Set theory & basic logic,1.722222,0.3003871
NASEM.Math.06,B.S. in Data Analytics.W,1,Optimization,1,Set theory & basic logic,1.722222,0.3003871
