Subarea_1,Program,Score,Area,ScoreOrdinal,Subarea,Mean_Score,Se_Score
NASEM.Modeling.03,"B.S. in Informatics, Data Science Track",2,Dimension,2,Machine learning,3.277778,0.2893034
NASEM.Modeling.03,B.S. in Statistics with Data Science option,2,Dimension,2,Machine learning,3.277778,0.2893034
NASEM.Modeling.03,B.S. in Data Analytics.W,2,Dimension,2,Machine learning,3.277778,0.2893034
NASEM.Modeling.04,B.S. in Data Analytics.O,1,Deep,1,Model assessment and sensitivity analysis,3,0.2425356
NASEM.Modeling.04,"B.S. in Data Sciences, Applied Data Science option",2,Deep,2,Model assessment and sensitivity analysis,3,0.2425356
NASEM.Modeling.04,"B.S. in Data Sciences, Computational Science option",2,Deep,2,Model assessment and sensitivity analysis,3,0.2425356
NASEM.Modeling.04,Data Science Minor,1,Deep,1,Model assessment and sensitivity analysis,3,0.2425356
NASEM.Modeling.04,Statistics and Data Science BA,1,Deep,1,Model assessment and sensitivity analysis,3,0.2425356
NASEM.Modeling.04,Statistics and Data Science BS,1,Deep,1,Model assessment and sensitivity analysis,3,0.2425356
NASEM.Modeling.04,B.A. in Data Science,2,Deep,2,Model assessment and sensitivity analysis,3,0.2425356
NASEM.Modeling.04,B.S. in Statistics: Statistical Data Science,1,Deep,1,Model assessment and sensitivity analysis,3,0.2425356
NASEM.Modeling.04,B.A. in Statistics and Data Science,1,Deep,1,Model assessment and sensitivity analysis,3,0.2425356
NASEM.Modeling.04,Certificate in Data Science ,1,Deep,1,Model assessment and sensitivity analysis,3,0.2425356
NASEM.Modeling.04,B.S. in Data Science,2,Deep,2,Model assessment and sensitivity analysis,3,0.2425356
NASEM.Modeling.04,B.S. in Computer Science with data science specialization,2,Deep,2,Model assessment and sensitivity analysis,3,0.2425356
NASEM.Modeling.04,"B.S. in Applied & Computational Mathematical Sciences, Data Sciences & Statistics Track",1,Deep,1,Model assessment and sensitivity analysis,3,0.2425356
NASEM.Modeling.04,"B.S. in Computer Science, Data Science Option",4,Deep,4,Model assessment and sensitivity analysis,3,0.2425356
NASEM.Modeling.04,B.S. in Human Centered Design & Engineering with Data Science option,2,Deep,2,Model assessment and sensitivity analysis,3,0.2425356
NASEM.Modeling.04,"B.S. in Informatics, Data Science Track",1,Deep,1,Model assessment and sensitivity analysis,3,0.2425356
NASEM.Modeling.04,B.S. in Statistics with Data Science option,1,Deep,1,Model assessment and sensitivity analysis,3,0.2425356
NASEM.Modeling.04,B.S. in Data Analytics.W,1,Deep,1,Model assessment and sensitivity analysis,3,0.2425356
NASEM.Modeling.05,B.S. in Data Analytics.O,4,Assessment,4,Dimension reduction techniques and unsupervised learning,2.277778,0.1947943
NASEM.Modeling.05,"B.S. in Data Sciences, Applied Data Science option",3,Assessment,3,Dimension reduction techniques and unsupervised learning,2.277778,0.1947943
NASEM.Modeling.05,"B.S. in Data Sciences, Computational Science option",4,Assessment,4,Dimension reduction techniques and unsupervised learning,2.277778,0.1947943
NASEM.Modeling.05,Data Science Minor,2,Assessment,2,Dimension reduction techniques and unsupervised learning,2.277778,0.1947943
NASEM.Modeling.05,Statistics and Data Science BA,4,Assessment,4,Dimension reduction techniques and unsupervised learning,2.277778,0.1947943
NASEM.Modeling.05,Statistics and Data Science BS,4,Assessment,4,Dimension reduction techniques and unsupervised learning,2.277778,0.1947943
NASEM.Modeling.05,B.A. in Data Science,2,Assessment,2,Dimension reduction techniques and unsupervised learning,2.277778,0.1947943
NASEM.Modeling.05,B.S. in Statistics: Statistical Data Science,4,Assessment,4,Dimension reduction techniques and unsupervised learning,2.277778,0.1947943
NASEM.Modeling.05,B.A. in Statistics and Data Science,4,Assessment,4,Dimension reduction techniques and unsupervised learning,2.277778,0.1947943
NASEM.Modeling.05,Certificate in Data Science ,3,Assessment,3,Dimension reduction techniques and unsupervised learning,2.277778,0.1947943
NASEM.Modeling.05,B.S. in Data Science,4,Assessment,4,Dimension reduction techniques and unsupervised learning,2.277778,0.1947943
NASEM.Modeling.05,B.S. in Computer Science with data science specialization,2,Assessment,2,Dimension reduction techniques and unsupervised learning,2.277778,0.1947943
NASEM.Modeling.05,"B.S. in Applied & Computational Mathematical Sciences, Data Sciences & Statistics Track",4,Assessment,4,Dimension reduction techniques and unsupervised learning,2.277778,0.1947943
NASEM.Modeling.05,"B.S. in Computer Science, Data Science Option",1,Assessment,1,Dimension reduction techniques and unsupervised learning,2.277778,0.1947943
NASEM.Modeling.05,B.S. in Human Centered Design & Engineering with Data Science option,2,Assessment,2,Dimension reduction techniques and unsupervised learning,2.277778,0.1947943
NASEM.Modeling.05,"B.S. in Informatics, Data Science Track",2,Assessment,2,Dimension reduction techniques and unsupervised learning,2.277778,0.1947943
NASEM.Modeling.05,B.S. in Statistics with Data Science option,3,Assessment,3,Dimension reduction techniques and unsupervised learning,2.277778,0.1947943
NASEM.Modeling.05,B.S. in Data Analytics.W,2,Assessment,2,Dimension reduction techniques and unsupervised learning,2.277778,0.1947943
NASEM.Modeling.06,B.S. in Data Analytics.O,4,Interpretation,4,Deep learning,1.5,0.1852396
NASEM.Modeling.06,"B.S. in Data Sciences, Applied Data Science option",4,Interpretation,4,Deep learning,1.5,0.1852396
NASEM.Modeling.06,"B.S. in Data Sciences, Computational Science option",4,Interpretation,4,Deep learning,1.5,0.1852396
NASEM.Modeling.06,Data Science Minor,4,Interpretation,4,Deep learning,1.5,0.1852396
NASEM.Modeling.06,Statistics and Data Science BA,4,Interpretation,4,Deep learning,1.5,0.1852396
NASEM.Modeling.06,Statistics and Data Science BS,4,Interpretation,4,Deep learning,1.5,0.1852396
NASEM.Modeling.06,B.A. in Data Science,4,Interpretation,4,Deep learning,1.5,0.1852396
NASEM.Modeling.06,B.S. in Statistics: Statistical Data Science,4,Interpretation,4,Deep learning,1.5,0.1852396
NASEM.Modeling.06,B.A. in Statistics and Data Science,4,Interpretation,4,Deep learning,1.5,0.1852396
NASEM.Modeling.06,Certificate in Data Science ,2,Interpretation,2,Deep learning,1.5,0.1852396
NASEM.Modeling.06,B.S. in Data Science,4,Interpretation,4,Deep learning,1.5,0.1852396
NASEM.Modeling.06,B.S. in Computer Science with data science specialization,4,Interpretation,4,Deep learning,1.5,0.1852396
NASEM.Modeling.06,"B.S. in Applied & Computational Mathematical Sciences, Data Sciences & Statistics Track",4,Interpretation,4,Deep learning,1.5,0.1852396
NASEM.Modeling.06,"B.S. in Computer Science, Data Science Option",4,Interpretation,4,Deep learning,1.5,0.1852396
NASEM.Modeling.06,B.S. in Human Centered Design & Engineering with Data Science option,4,Interpretation,4,Deep learning,1.5,0.1852396
NASEM.Modeling.06,"B.S. in Informatics, Data Science Track",4,Interpretation,4,Deep learning,1.5,0.1852396
NASEM.Modeling.06,B.S. in Statistics with Data Science option,2,Interpretation,2,Deep learning,1.5,0.1852396
NASEM.Modeling.06,B.S. in Data Analytics.W,1,Interpretation,1,Deep learning,1.5,0.1852396
